Area_New,Area_ma,Area_ma_new,Area_npa,Area_rpa,Region,Year
0.0,0.0,0.0,0.0,0.0,JH,1974
59.0,128.0,128.0,187.0,0.0,JH,1975
59.0,147.0,147.0,206.0,0.0,JH,1976
56.0,171.0,116.538461538,227.0,0.0,JH,1977
59.0,191.0,93.4230769231,250.0,0.0,JH,1978
53.0,223.0,103.230769231,276.0,0.0,JH,1979
58.0,241.0,110.215384615,299.0,0.0,JH,1980
65.0,253.0,122.292307692,318.0,0.0,JH,1981
49.0,289.0,155.961538462,338.0,0.0,JH,1982
47.0,306.0,165.084615385,353.0,0.0,JH,1983
54.0,345.0,212.523076923,399.0,0.0,JH,1984
59.0,363.0,240.607692308,422.0,0.0,JH,1985
66.0,384.0,261.892307692,450.0,0.0,JH,1986
60.0,428.0,299.184615385,488.0,0.0,JH,1987
48.0,473.0,331.169230769,521.0,0.0,JH,1988
41.0,492.0,345.492307692,533.0,0.0,JH,1989
39.0,510.0,372.415384615,549.0,0.0,JH,1990
44.0,504.0,380.176923077,548.0,0.0,JH,1991
39.0,535.0,419.223076923,574.0,0.0,JH,1992
34.0,534.0,416.030769231,568.0,0.0,JH,1993
37.0,551.0,431.684615385,588.0,0.0,JH,1994
37.0,551.0,430.069230769,588.0,7.0,JH,1995
40.0,518.0,388.861538462,558.0,29.0,JH,1996
37.0,544.0,404.507692308,581.0,5.0,JH,1997
40.0,563.0,407.061538462,603.0,5.0,JH,1998
39.0,574.0,403.330769231,613.0,7.0,JH,1999
53.0,582.0,391.861538462,635.0,9.0,JH,2000
56.0,581.0,368.846153846,637.0,15.0,JH,2001
65.0,599.0,352.492307692,664.0,16.0,JH,2002
62.0,598.0,340.669230769,660.0,11.0,JH,2003
61.0,605.0,332.730769231,666.0,16.0,JH,2004
66.0,602.0,322.792307692,668.0,9.0,JH,2005
63.0,608.0,328.415384615,671.0,11.0,JH,2006
75.0,596.0,311.530769231,671.0,21.0,JH,2007
72.0,616.0,333.969230769,688.0,14.0,JH,2008
79.0,633.0,346.676923077,712.0,19.0,JH,2009
81.0,636.0,344.461538462,717.0,27.0,JH,2010
90.0,631.0,329.484615385,721.0,23.0,JH,2011
96.0,618.0,311.3,714.0,19.0,JH,2012
91.0,640.0,325.784615385,731.0,17.0,JH,2013
82.0,651.0,331.592307692,733.0,19.0,JH,2014
74.0,666.0,349.1,740.0,13.0,JH,2015
67.0,679.0,372.161538462,746.0,13.0,JH,2016
0.0,0.0,0.0,0.0,0.0,PH,1974
60.0,106.0,106.0,166.0,0.0,PH,1975
60.0,122.0,122.0,182.0,0.0,PH,1976
57.0,142.0,86.6153846154,199.0,0.0,PH,1977
60.0,159.0,59.7692307692,219.0,0.0,PH,1978
54.0,185.0,63.1538461538,239.0,0.0,PH,1979
59.0,200.0,66.9615384615,259.0,0.0,PH,1980
66.0,210.0,76.9615384615,276.0,0.0,PH,1981
50.0,240.0,104.607692308,290.0,0.0,PH,1982
48.0,254.0,110.730769231,302.0,0.0,PH,1983
54.0,287.0,152.169230769,341.0,0.0,PH,1984
44.0,332.0,207.253846154,376.0,0.0,PH,1985
69.0,317.0,193.461538462,386.0,0.0,PH,1986
56.0,365.0,249.330769231,421.0,0.0,PH,1987
54.0,369.0,235.061538462,423.0,0.0,PH,1988
55.0,385.0,246.176923077,440.0,0.0,PH,1989
52.0,395.0,256.061538462,447.0,0.0,PH,1990
56.0,410.0,271.046153846,466.0,0.0,PH,1991
39.0,447.0,307.061538462,486.0,0.0,PH,1992
37.0,452.0,306.415384615,489.0,0.0,PH,1993
32.0,466.0,329.184615385,498.0,0.0,PH,1994
32.0,466.0,333.169230769,498.0,6.0,PH,1995
54.0,489.0,358.107692308,543.0,9.0,PH,1996
54.0,482.0,347.384615385,536.0,7.0,PH,1997
49.0,489.0,324.353846154,538.0,3.0,PH,1998
51.0,492.0,297.361538462,543.0,9.0,PH,1999
55.0,460.0,243.369230769,515.0,7.0,PH,2000
67.0,466.0,225.615384615,533.0,13.0,PH,2001
65.0,519.0,252.546153846,584.0,17.0,PH,2002
87.0,496.0,216.661538462,583.0,22.0,PH,2003
61.0,518.0,231.607692308,579.0,5.0,PH,2004
59.0,548.0,238.2,607.0,14.0,PH,2005
71.0,552.0,250.430769231,623.0,12.0,PH,2006
77.0,564.0,273.023076923,641.0,15.0,PH,2007
79.0,569.0,278.669230769,648.0,10.0,PH,2008
