index,Region,Year,Month,Production,Diff_production
0,JH,1998,1,118.359,0.0
1,JH,1998,2,147.988,0.0
2,JH,1998,3,145.514,29.629
3,JH,1998,4,154.638,-2.474
4,JH,1998,5,155.827,9.124
5,JH,1998,6,163.215,1.189
6,JH,1998,7,182.535,7.388
7,JH,1998,8,195.686,19.32
8,JH,1998,9,210.113,13.151
9,JH,1998,10,203.115,14.427
10,JH,1998,11,186.055,-6.998
11,JH,1998,12,158.304,-17.06
12,JH,1999,1,133.109,-27.751
13,JH,1999,2,147.24,-25.195
14,JH,1999,3,169.754,14.131
15,JH,1999,4,192.155,22.514
16,JH,1999,5,216.57,22.401
17,JH,1999,6,210.553,24.415
18,JH,1999,7,223.731,-6.017
19,JH,1999,8,224.397,13.178
20,JH,1999,9,234.327,0.666
21,JH,1999,10,237.426,9.93
22,JH,1999,11,225.412,3.099
23,JH,1999,12,210.489,-12.014
24,JH,2000,1,176.328,-14.923
25,JH,2000,2,164.926,-34.161
26,JH,2000,3,173.124,-11.402
27,JH,2000,4,177.804,8.198
28,JH,2000,5,185.927,4.68
29,JH,2000,6,199.5,8.123
30,JH,2000,7,204.75,13.573
31,JH,2000,8,211.713,5.25
32,JH,2000,9,233.193,6.963
33,JH,2000,10,239.385,21.48
34,JH,2000,11,239.598,6.192
35,JH,2000,12,175.965,0.213
36,JH,2001,1,199.24,-63.633
37,JH,2001,2,171.77,23.275
38,JH,2001,3,170.966,-27.47
39,JH,2001,4,176.878,-0.804
40,JH,2001,5,188.395,5.912
41,JH,2001,6,183.676,11.517
42,JH,2001,7,187.813,-4.719
43,JH,2001,8,211.931,4.137
44,JH,2001,9,221.399,24.118
45,JH,2001,10,230.672,9.468
46,JH,2001,11,209.077,9.273
47,JH,2001,12,176.049,-21.595
48,JH,2002,1,177.839,-33.028
49,JH,2002,2,140.047,1.79
50,JH,2002,3,162.689,-37.792
51,JH,2002,4,160.742,22.642
52,JH,2002,5,176.955,-1.947
53,JH,2002,6,187.515,16.213
54,JH,2002,7,207.064,10.56
55,JH,2002,8,214.915,19.549
56,JH,2002,9,230.929,7.851
57,JH,2002,10,230.638,16.014
58,JH,2002,11,205.439,-0.291
59,JH,2002,12,177.754,-25.199
60,JH,2003,1,170.296,-27.685
61,JH,2003,2,153.45,-7.458
62,JH,2003,3,197.905,-16.846
63,JH,2003,4,221.055,44.455
64,JH,2003,5,232.739,23.15
65,JH,2003,6,241.319,11.684
66,JH,2003,7,248.74,8.58
67,JH,2003,8,242.578,7.421
68,JH,2003,9,248.51,-6.162
69,JH,2003,10,223.714,5.932
70,JH,2003,11,193.828,-24.796
71,JH,2003,12,231.986,-29.886
72,JH,2004,1,161.686,38.158
73,JH,2004,2,167.235,-70.3
74,JH,2004,3,180.851,5.549
75,JH,2004,4,191.626,13.616
76,JH,2004,5,220.506,10.775
77,JH,2004,6,233.33,28.88
78,JH,2004,7,240.156,12.824
79,JH,2004,8,235.884,6.826
80,JH,2004,9,255.614,-4.272
81,JH,2004,10,250.95,19.73
82,JH,2004,11,220.849,-4.664
83,JH,2004,12,233.651,-30.101
84,JH,2005,1,205.973,12.802
85,JH,2005,2,183.37,-27.678
86,JH,2005,3,218.398,-22.603
87,JH,2005,4,214.688,35.028
88,JH,2005,5,236.13,-3.71
89,JH,2005,6,229.296,21.442
90,JH,2005,7,237.548,-6.834
91,JH,2005,8,230.896,8.252
92,JH,2005,9,239.294,-6.652
93,JH,2005,10,223.837,8.398
94,JH,2005,11,190.419,-15.457
95,JH,2005,12,160.418,-33.418
96,JH,2006,1,145.637,-30.001
97,JH,2006,2,193.908,-14.781
98,JH,2006,3,229.324,48.271
99,JH,2006,4,240.346,35.416
100,JH,2006,5,267.948,11.022
101,JH,2006,6,260.255,27.602
102,JH,2006,7,265.266,-7.693
103,JH,2006,8,290.846,5.011
104,JH,2006,9,279.002,25.58
105,JH,2006,10,226.696,-11.844
106,JH,2006,11,260.429,-52.306
107,JH,2006,12,161.383,33.733
108,JH,2007,1,160.215,-99.046
109,JH,2007,2,148.427,-1.168
110,JH,2007,3,172.007,-11.788
111,JH,2007,4,182.575,23.58
112,JH,2007,5,196.112,10.568
113,JH,2007,6,191.218,13.537
114,JH,2007,7,244.877,-4.894
115,JH,2007,8,268.332,53.659
116,JH,2007,9,270.622,23.455
117,JH,2007,10,270.185,2.29
118,JH,2007,11,276.955,-0.437
119,JH,2007,12,243.713,6.77
120,JH,2008,1,241.662,-33.242
121,JH,2008,2,217.673,-2.051
122,JH,2008,3,229.253,-23.989
123,JH,2008,4,209.989,11.58
124,JH,2008,5,229.763,-19.264
125,JH,2008,6,231.758,19.774
126,JH,2008,7,252.11,1.995
127,JH,2008,8,258.638,20.352
128,JH,2008,9,248.514,6.528
129,JH,2008,10,269.094,-10.124
130,JH,2008,11,281.432,20.58
131,JH,2008,12,251.442,12.338
132,JH,2009,1,221.711,-29.99
133,JH,2009,2,208.299,-29.731
134,JH,2009,3,206.43,-13.412
135,JH,2009,4,214.957,-1.869
136,JH,2009,5,244.809,8.527
137,JH,2009,6,260.523,29.852
138,JH,2009,7,273.706,15.714
139,JH,2009,8,247.842,13.183
140,JH,2009,9,244.425,-25.864
141,JH,2009,10,326.184,-3.417
142,JH,2009,11,253.616,81.759
143,JH,2009,12,235.343,-72.568
144,JH,2010,1,209.505,-18.273
145,JH,2010,2,193.756,-25.838
146,JH,2010,3,232.43,-15.749
147,JH,2010,4,217.338,38.674
148,JH,2010,5,245.879,-15.092
149,JH,2010,6,258.857,28.541
150,JH,2010,7,264.492,12.978
151,JH,2010,8,255.194,5.635
152,JH,2010,9,245.335,-9.298
153,JH,2010,10,266.321,-9.859
