Region,Year,Month,Rainfall
Johor,1980,1,254.5666667
Johor,1981,1,67.5
Johor,1982,1,124.8333333
Johor,1983,1,149.8666667
Johor,1984,1,446.9
Johor,1985,1,249.5666667
Johor,1986,1,261.5
Johor,1987,1,542.5666667
Johor,1988,1,161.6666667
Johor,1989,1,143.4
Johor,1990,1,95.33333333
Johor,1991,1,175.2333333
Johor,1992,1,149.2833333
Johor,1993,1,275.925
Johor,1994,1,97.4
Johor,1995,1,329.275
Johor,1996,1,259.8
Johor,1997,1,26.025
Johor,1998,1,190.9
Johor,1999,1,215.05
Johor,2000,1,289.0
Johor,2001,1,487.125
Johor,2002,1,176.25
Johor,2003,1,383.375
Johor,2004,1,271.35
Johor,2005,1,125.925
Johor,2006,1,222.5
Johor,2007,1,625.45
Johor,2008,1,257.45
Johor,2009,1,119.9
Johor,2010,1,108.1
Johor,2011,1,443.55
Johor,2012,1,209.3
Johor,2013,1,327.85
Johor,2014,1,96.4
Johor,2015,1,157.25
Johor,2016,1,148.15
Johor,2017,1,230.025
Johor,2018,1,0.0
Johor,2019,1,0.0
Johor,2020,1,0.0
Pahang,1980,1,140.6875
Pahang,1981,1,50.46875
Pahang,1982,1,23.0625
Pahang,1983,1,81.275
Pahang,1984,1,421.1692308
Pahang,1985,1,98.55384615
Pahang,1986,1,182.1384615
Pahang,1987,1,272.4692308
Pahang,1988,1,144.0923077
Pahang,1989,1,287.5692308
Pahang,1990,1,129.4769231
Pahang,1991,1,172.8076923
Pahang,1992,1,141.9615385
Pahang,1993,1,140.2615385
Pahang,1994,1,186.5846154
Pahang,1995,1,453.6769231
Pahang,1996,1,227.3538462
Pahang,1997,1,9.4
Pahang,1998,1,211.4923077
Pahang,1999,1,264.7230769
Pahang,2000,1,252.9384615
Pahang,2001,1,235.2769231
Pahang,2002,1,72.92307692
Pahang,2003,1,384.1846154
Pahang,2004,1,218.4923077
Pahang,2005,1,89.58461538
Pahang,2006,1,177.7333333
Pahang,2007,1,358.9333333
Pahang,2008,1,190.2
Pahang,2009,1,246.0666667
Pahang,2010,1,138.8666667
Pahang,2011,1,372.3333333
Pahang,2012,1,377.0666667
Pahang,2013,1,168.4666667
Pahang,2014,1,99.63333333
Pahang,2015,1,154.1333333
Pahang,2016,1,87.0
Pahang,2017,1,492.2333333
Pahang,2018,1,0.0
Pahang,2019,1,0.0
Pahang,2020,1,0.0
Perak,1980,1,61.35
Perak,1981,1,139.25
Perak,1982,1,18.125
Perak,1983,1,77.125
Perak,1984,1,208.7444444
Perak,1985,1,120.6222222
Perak,1986,1,172.8333333
Perak,1987,1,146.5888889
Perak,1988,1,185.3
Perak,1989,1,198.0333333
Perak,1990,1,67.95555556
Perak,1991,1,213.9222222
Perak,1992,1,84.82222222
Perak,1993,1,135.8033333
Perak,1994,1,71.28
Perak,1995,1,195.8
Perak,1996,1,115.7
Perak,1997,1,45.3
Perak,1998,1,109.84
Perak,1999,1,223.55
Perak,2000,1,249.57
Perak,2001,1,224.2
Perak,2002,1,111.76
Perak,2003,1,136.72
Perak,2004,1,208.3
Perak,2005,1,63.2
Perak,2006,1,144.3
Perak,2007,1,171.52
Perak,2008,1,212.7
Perak,2009,1,221.44
Perak,2010,1,256.22
Perak,2011,1,251.0
Perak,2012,1,227.98
Perak,2013,1,200.34
Perak,2014,1,171.98
Perak,2015,1,113.4
Perak,2016,1,58.38
Perak,2017,1,293.52
Perak,2018,1,0.0
Perak,2019,1,0.0
Perak,2020,1,0.0
Other Pen. States,1980,1,80.20525247
Other Pen. States,1981,1,96.17141977
Other Pen. States,1982,1,40.03576624
Other Pen. States,1983,1,120.5364432
Other Pen. States,1984,1,136.5022398
Other Pen. States,1985,1,61.98484686
Other Pen. States,1986,1,90.29102853
Other Pen. States,1987,1,103.0660707
Other Pen. States,1988,1,143.6294164
Other Pen. States,1989,1,144.0666939
Other Pen. States,1990,1,131.6057663
Other Pen. States,1991,1,194.1414086
Other Pen. States,1992,1,83.9483231
Other Pen. States,1993,1,172.8962974
Other Pen. States,1994,1,107.8511432
Other Pen. States,1995,1,151.6352782
Other Pen. States,1996,1,136.239747
Other Pen. States,1997,1,62.71391442
Other Pen. States,1998,1,157.8494419
Other Pen. States,1999,1,171.9835727
Other Pen. States,2000,1,223.3226618
Other Pen. States,2001,1,305.1723768
Other Pen. States,2002,1,54.96814256
Other Pen. States,2003,1,173.9076849
Other Pen. States,2004,1,141.1871417
Other Pen. States,2005,1,48.44656665
Other Pen. States,2006,1,150.5108089
Other Pen. States,2007,1,227.6862353
Other Pen. States,2008,1,238.8488167
Other Pen. States,2009,1,183.5472655
Other Pen. States,2010,1,194.6075421
Other Pen. States,2011,1,254.8969739
Other Pen. States,2012,1,185.2107852
Other Pen. States,2013,1,215.7312464
Other Pen. States,2014,1,131.1676157
Other Pen. States,2015,1,155.4184841
Other Pen. States,2016,1,207.6751355
Other Pen. States,2017,1,335.5844969
Other Pen. States,2018,1,0.0
Other Pen. States,2019,1,0.0
Other Pen. States,2020,1,0.0
Peninsula,1980,1,152.1510761
Peninsula,1981,1,83.61800681
Peninsula,1982,1,58.86489843
Peninsula,1983,1,109.1343374
Peninsula,1984,1,346.2876024
Peninsula,1985,1,135.7164914
Peninsula,1986,1,182.9131154
Peninsula,1987,1,284.1699042
Peninsula,1988,1,157.1356893
Peninsula,1989,1,202.489425
Peninsula,1990,1,108.2014685
Peninsula,1991,1,186.1661949
Peninsula,1992,1,122.9015096
Peninsula,1993,1,188.1927412
Peninsula,1994,1,120.4455992
Peninsula,1995,1,307.0000645
Peninsula,1996,1,198.309099
Peninsula,1997,1,31.61669675
Peninsula,1998,1,173.3659406
Peninsula,1999,1,220.6271623
Peninsula,2000,1,256.1740984
Peninsula,2001,1,324.0813458
Peninsula,2002,1,106.9876658
Peninsula,2003,1,287.6504681
Peninsula,2004,1,214.4047747
Peninsula,2005,1,85.79962624
